row id;Exact mass;m/z;rt;Metaboscape annotation;Putative annotation;Metaboanalyst name (#_mz_rt);VIP_class;VIP_zone_demospongiae;VIP_zone_Hexactinellida;CSI:FingerIDScore;molecularFormulaSIRIUS;nameSIRIUS;linksSIRIUS
557;264.97226;265.97954;437.88;;;557_265.97954_437.88;;;;-170.0246496;C6H8BrF4NO;null;PubChem:(106290971)
772;260.1031;261.11038;651.57;;;772_261.11038_651.57;;0.4991;0.43072;-170.0620027;C8H16N6O2S;null;PubChem:(80790153)
1877;228.09083;229.09811;479.43;;;1877_229.09811_479.43;;1.6138;1.1677;-171.9681863;C8H15F3N2S;null;PubChem:(130441284)
491;239.99538;241.00266;357.14;;;491_241.00266_357.14;;;0.94988;-172.8749424;C9H6Cl2N4;null;PubChem:(88540041)
1423;542.37026;543.37753;1311.73;;;1423_543.37753_1311.73;;3.0615;0.35577;-173.8079257;C28H46N8O3;null;PubChem:(69759405)
1743;225.13276;226.14004;89.87;;;1743_226.14004_89.87;;1.1749;0.80555;-175.6134272;C7H19N3O5;null;PubChem:(87139555)
1061;628.3681;629.37538;1131.7;;;1061_629.37538_1131.7;;2.1139;0.4762;-177.0585082;C26H48N10O8;null;PubChem:(101761038)
2227;562.54064;563.54792;1163.97;;;2227_563.54792_1163.97;;0.40694;0.83918;-179.396728;C32H66N8;null;PubChem:(68026546)
1775;195.12211;196.12939;127.14;;;1775_196.12939_127.14;;;;-180.8918901;C6H17N3O4;null;PubChem:(89457715)
2089;220.14327;221.15055;994.73;;;2089_221.15055_994.73;;;;-181.3262093;C9H18BF2NO2;null;PubChem:(11107997)
424;317.1459;318.15318;133.4;;;424_318.15318_133.4;;;;-181.4588361;C14H23NO7;null;PubChem:(87637866)
2595;300.14033;301.14761;1372.9;;;2595_301.14761_1372.9;;1.8027;1.9128;-181.899355;C14H25N2OPS;null;PubChem:(57124981)
672;278.02164;279.02891;521.28;;;672_279.02891_521.28;;;;-181.9167379;C8H12N2O5P2;null;PubChem:(57253170)
484;525.99138;526.99866;355.62;;;484_526.99866_355.62;;;;-182.6643371;C10H17N4O15P3;null;PubChem:(57226912)
997;472.33136;473.33863;1055.97;;;997_473.33863_1055.97;;;;-189.6656078;C33H44O2;null;COCONUT:(CNP0250360).HMDB:(36882).Natural Products:(UNPD42183 UNPD175740).PubChem:(87458555 101306769 131752077).SuperNatural:(SN00371623 SN00225349).PubChem class - bio and metabolites
973;178.06035;179.06763;1035.37;;;973_179.06763_1035.37;;;;-190.1142555;C4H11N4O2P;null;PubChem:(7018954 6365053)
1707;263.12969;264.13696;72.3;;;1707_264.13696_72.3;;;;-190.7770933;C10H21N3O3S;null;PubChem:(61132541)
2338;282.26992;283.2772;1257.53;;;2338_283.2772_1257.53;;0.19221;0.6176;-194.2644874;C16H34BNO2;null;PubChem:(70397587)
1925;532.46603;533.47331;621.67;;;1925_533.47331_621.67;;;;-194.3119636;C28H56N10;null;PubChem:(90323842)
882;271.21239;272.21966;833.5;;;882_272.21966_833.5;;;;-198.7215253;C11H25N7O;null;PubChem:(23566357)
1045;351.3102;352.31747;1110.49;;;1045_352.31747_1110.49;;;;-199.185547;C17H37B2N3O3;null;PubChem:(89759674)
1863;158.08266;159.08994;391.97;;;1863_159.08994_391.97;;;;-199.2318712;C7H12NO3;null;PubChem:(59705728)
539;348.07274;349.08002;420.71;;;539_349.08002_420.71;;;;-199.2858569;C15H8N8O3;null;PubChem:(839979)
459;236.97619;237.98347;300.07;;;459_237.98347_300.07;;;;-200.4166732;C5H8BrF4N;null;PubChem:(131224258)
426;242.1604;243.16767;152.6;;;426_243.16767_152.6;;;;-201.886154;C7H18B2N4O4;null;PubChem:(53970731)
1064;577.33529;578.34257;1137.47;;;1064_578.34257_1137.47;;;;-202.2430662;C25H47N5O10;null;PubChem:(89424850)
1860;189.09832;190.1056;360.34;;;1860_190.1056_360.34;;;;-205.7700897;C9H16FNS;null;PubChem:(130944700)
1764;225.13328;226.14056;105.36;;;1764_226.14056_105.36;;1.5014;0.49649;-206.0952758;C7H19N3O5;null;PubChem:(87139555)
383;181.08289;182.09016;70.18;;;383_182.09016_70.18;;2.4202;1.5714;-206.2482722;C8H12F3O;null;PubChem:(57449867)
1944;598.47815;599.48543;675.53;;;1944_599.48543_675.53;;;;-207.1957982;C31H62N6O5;null;PubChem:(46931587)
585;804.15229;805.15957;452.35;;;585_805.15957_452.35;;;;-208.1651322;C42H24N6O12;null;PubChem:(102142553)
766;267.24351;268.25079;646.66;;;766_268.25079_646.66;;;;-209.4143596;C14H29N5;null;PubChem:(112394873)
787;400.18471;401.19199;663.22;;;787_401.19199_663.22;;;;-209.4789328;C21H27F3O4;null;PubChem:(101044102 101044103)
1622;208.0806;209.08787;67.83;;;1622_209.08787_67.83;;;;-211.5431821;C7H17N2OPS;null;PubChem:(85957068)
2049;511.35951;512.36678;934.83;;;2049_512.36678_934.83;;;;-211.6179599;C23H45N9O4;null;PubChem:(91048075)
2252;795.60041;796.60768;1189.65;;;2252_796.60768_1189.65;;1.1849;0.45614;-213.1640242;C40H77N9O7;null;PubChem:(117905005)
1184;629.43356;630.44083;1216.65;;;1184_630.44083_1216.65;;0.097496;0.29593;-218.3484493;C31H59N5O8;null;PubChem:(117905018)
376;257.10241;258.10968;68.49;;;376_258.10968_68.49;;;;-218.8055532;C8H17F2N3O2S;null;PubChem:(120404738)
2314;250.17444;251.18172;1233.13;;;2314_251.18172_1233.13;;0.064643;0.32161;-221.3925773;C8H22N6O3;null;PubChem:(69454546)
519;201.07546;202.08274;397.72;;;519_202.08274_397.72;;;;-222.4309436;C7H9BF2N2O2;null;PubChem:(133676408)
829;343.26966;344.27694;714.65;;;829_344.27694_714.65;;;;-223.5133232;C15H33N7O2;null;PubChem:(10918228)
535;813.54633;814.55361;415.06;;;535_814.55361_415.06;;;;-224.028757;C37H71N11O9;null;PubChem:(44539233)
1047;654.50473;655.512;1111.3;;;1047_655.512_1111.3;;;;-228.676696;C34H66N6O6;null;PubChem:(53318063 53319033).PubMed
935;539.41428;540.42156;981.46;;;935_540.42156_981.46;;;;-229.2813742;C28H49N11;null;PubChem:(118965845)
1286;793.52819;794.53546;1281.36;;;1286_794.53546_1281.36;;;;-233.1152304;C40H71N7O9;null;PubChem:(49834080)
1893;542.02323;543.0305;541.7;;;1893_543.0305_541.7;;;;-233.8291757;C11H21N4O15P3;null;PubChem:(18602651)
408;244.14924;245.15651;98.64;;;408_245.15651_98.64;;;;-235.4391807;C13H18BN2O2;null;PubChem:(123460812)
437;242.16062;243.1679;250.96;;;437_243.1679_250.96;;;;-235.8907206;C7H18B2N4O4;null;PubChem:(53970731)
501;232.98757;233.99485;365.52;;;501_233.99485_365.52;;;;-237.8739508;C6H5Cl2N5O;null;PubChem:(131085269)
1635;243.10407;244.11135;69.56;;;1635_244.11135_69.56;;1.1791;0.22557;-239.9368799;C12H13BN2O3;null;PubChem:(90902789).PubMed
438;204.08667;205.09395;251.57;;;438_205.09395_251.57;;;;-240.5829371;C6H12N4O4;null;PubChem:(88006672)
1505;785.52737;786.53465;1362.24;;;1505_786.53465_1362.24;;1.0531;1.5531;-241.7671669;C33H67N15O7;null;PubChem:(71487736)
565;815.55629;816.56357;446.61;;;565_816.56357_446.61;;;;-241.8315271;C43H73N7O8;null;COCONUT:(CNP0327843).Natural Products:(UNPD91379).PubChem:(22832760).SuperNatural:(SN00347621)
1947;180.09083;181.09811;685.75;;;1947_181.09811_685.75;;2.1268;0.23416;-244.7438851;C6H11BF3NO;null;PubChem:(63702021)
1934;484.47098;485.47825;644.54;;;1934_485.47825_644.54;;;;-247.1359585;C28H60N4O2;null;PubChem:(87274028)
469;242.12549;243.13276;330.81;;;469_243.13276_330.81;;;;-247.7181741;C7H14N8O2;null;PubChem:(83118306)
2277;208.14295;209.14985;1209.98;;;2277_209.14985_1209.98;;0.72646;0.40116;-248.4553646;C11H20BNS;null;PubChem:(129804879)
2320;562.45529;563.46257;1237.14;;;2320_563.46257_1237.14;;0.44015;1.518;-251.3300822;C30H62N2O7;null;PubChem:(10793029)
2542;300.1409;301.14818;1349.05;;;2542_301.14818_1349.05;;0.1263;1.4599;-253.1288185;C13H18F2N4O2;null;PubChem:(63736336)
1981;238.15105;239.15833;800.11;;;1981_239.15833_800.11;;;;-253.5110967;C12H19BFNO2;null;PubChem:(54970959)
728;188.09247;189.09974;601.45;;;728_189.09974_601.45;;;;-254.4256128;C8H14NO4;null;PubChem:(57852801)
1719;215.14904;198.1447;89.44;;;1719_198.1447_89.44;;1.2594;1.4309;-254.8717557;C7H17N7O;null;PubChem:(54010763)
745;607.28412;608.29139;619.14;;;745_608.29139_619.14;;;;-256.7404166;C35H37N5O5;null;PubChem:(44583387).PubMed
510;339.24955;340.25683;375.6;;;510_340.25683_375.6;;;;-257.3088411;C13H33N5O5;null;PubChem:(89355990)
2508;244.12038;245.12766;1338.06;;;2508_245.12766_1338.06;;1.5705;1.7768;-258.2069594;C8H16BN3O5;null;PubChem:(87891784)
793;223.13462;224.14189;673.27;;;793_224.14189_673.27;;;;-258.3571246;C8H16BF3N2O;null;PubChem:(104353428)
395;253.15026;254.15753;72.16;;;395_254.15753_72.16;;;;-258.5257737;C10H23NO6;null;PubChem:(89406293 89406292)
2017;495.32638;496.33366;887.81;;;2017_496.33366_887.81;;;;-260.2519473;C26H38FN9;null;PubChem:(118485191)
2173;342.21653;343.2238;1126.67;;;2173_343.2238_1126.67;;;;-263.4380962;C17H30N2O5;null;PubChem:(128698852)
1041;810.59124;811.59852;1100.28;;;1041_811.59852_1100.28;;1.8441;1.8721;-265.0491245;C41H78N8O8;null;PubChem:(131954397 131954436)
1955;248.19581;249.20309;705.47;;;1955_249.20309_705.47;;;;-265.4097385;C14H24BNO2;null;PubChem:(55000627)
1939;560.49948;561.50676;660.38;;;1939_561.50676_660.38;;;;-266.3966555;C30H60N10;null;PubChem:(71020690)
1968;264.09415;265.10143;734.17;;;1968_265.10143_734.17;;;;-268.4415408;C10H13B2FN2O2S;null;PubChem:(71242176)
2399;663.44594;664.45322;1292.39;;;2399_664.45322_1292.39;;1.1387;1.9604;-268.7498955;C37H57N7O4;null;PubChem:(24997924)
795;562.51405;563.52133;674.52;;;795_563.52133_674.52;;;;-269.4037187;C25H62N12O2;null;PubChem:(87757268)
2500;314.16768;315.17496;1335.16;;;2500_315.17496_1335.16;;0.31753;0.56876;-274.1460142;C12H24F2N2O5;null;PubChem:(104567547)
2150;270.17597;271.18324;1098.14;;;2150_271.18324_1098.14;;0.042009;0.42118;-274.9420904;C14H20BN4O;null;PubChem:(68271857)
976;582.31302;583.32029;1038.04;;;976_583.32029_1038.04;;;;-276.6469961;C30H42N6O6;null;PubChem:(100929036)
1219;831.61947;832.62675;1236.5;;;1219_832.62675_1236.5;;;;-276.8144802;C45H81N7O7;null;PubChem:(134389779)
791;521.36836;522.37563;669.98;;;791_522.37563_669.98;;;;-276.9491067;C30H51NO6;null;PubChem:(73331339)
1746;239.1471;240.15437;92.27;;;1746_240.15437_92.27;;1.7082;0.64868;-281.9506617;C14H17BN2O;null;PubChem:(134941286)
797;621.28065;622.28793;678.54;;;797_622.28793_678.54;;;;-282.1141987;C33H35N9O4;null;PubChem:(11028532)
2588;330.19849;331.20577;1370.52;;;2588_331.20577_1370.52;;0.18714;0.72513;-282.5754389;C14H24F2N6O;null;PubChem:(112181541)
1141;766.44198;767.44926;1197.21;;;1141_767.44926_1197.21;;0.047883;0.61456;-282.6175076;C40H54N12O4;null;PubChem:(10010378)
835;505.25658;506.26386;722.21;;;835_506.26386_722.21;;;;-284.5476341;C25H31N9O3;null;PubChem:(70333435)
531;813.34895;814.35622;413.79;;;531_814.35622_413.79;;;;-287.3346427;C33H51N9O15;null;PubChem:(90667988)
2304;260.11243;261.1197;1227.47;;;2304_261.1197_1227.47;;0.27127;1.5238;-287.7552594;C11H21N2OPS;null;PubChem:(12547069)
2164;305.26862;306.2759;1113.28;;;2164_306.2759_1113.28;;0.14473;0.12029;-287.7786096;C15H35N3O3;null;PubChem:(87434861)
1240;658.45704;659.46431;1246.14;;;1240_659.46431_1246.14;;1.5633;0.72618;-289.1349396;C28H58N12O6;null;PubChem:(89255055)
1323;727.49018;728.49746;1290.83;;;1323_728.49746_1290.83;;;;-289.4950226;C43H70NO6P;null;PubChem:(123855029)
425;303.12446;304.13174;138.15;;;425_304.13174_138.15;;;;-289.5772913;C12H14B2FN3O4;null;PubChem:(102353133)
1409;564.38408;565.39135;1308.72;;;1409_565.39135_1308.72;;;;-296.5548426;C26H48N10O4;null;PubChem:(132577376)
547;782.93225;783.93952;430.97;;;547_783.93952_430.97;;;;-296.6152398;C16H20Cl2F6N5O12P3S;null;PubChem:(10557443).PubMed
975;539.39086;540.39813;1035.94;;;975_540.39813_1035.94;;;;-296.7750156;C29H53N3O6;null;PubChem:(89149611)
2142;614.3406;597.33639;1089.88;;;2142_597.33639_1089.88;;;;-297.2734563;C31H46N6O7;null;PubChem:(118097708)
961;346.24772;347.25499;1023.32;;;961_347.25499_1023.32;;;;-299.1527168;C17H34N2O5;null;PubChem:(118987290).CHEBI:(102266)
1702;278.14714;279.15441;71.97;;;1702_279.15441_71.97;;;;-301.6069602;C17H18BNO2;null;PubChem:(89110365)
876;758.36158;759.36886;821.98;;;876_759.36886_821.98;;;;-304.9628346;C35H50N8O11;null;PubChem:(10350164)
562;815.35577;816.36305;446.04;;;562_816.36305_446.04;;;;-305.0637914;C44H53N3O12;null;PubChem:(101425370)
2221;628.36649;629.37377;1162.54;;;2221_629.37377_1162.54;;0.34716;1.8117;-314.3822454;C47H48O;null;PubChem:(134978465)
492;331.12624;332.13352;359.08;;;492_332.13352_359.08;;;;-318.3124857;C13H16F3N5O2;null;PubChem:(120965009)
2415;662.44258;663.44986;1301.01;;;2415_663.44986_1301.01;;0.56954;1.1458;-318.8022702;C44H58N2O3;null;PubChem:(102588280)
1703;237.1311;238.13838;72.37;;;1703_238.13838_72.37;;;;-320.6470276;C11H16BFN2O2;null;PubChem:(75486934)
2072;481.34619;482.35346;970.86;;;2072_482.35346_970.86;;0.49899;1.6403;-322.7625633;C22H43N9O3;null;PubChem:(124117793)
692;223.18648;224.19375;543.35;;;692_224.19375_543.35;;;;-328.4500753;C12H23BNO2;null;PubChem:(123867930)
1973;734.36307;735.36945;755.91;;;1973_735.36945_755.91;;;;-330.9367226;C33H50N8O11;null;PubChem:(102085603)
1234;744.57466;745.58194;1243.82;;;1234_745.58194_1243.82;;0.46342;1.6275;-330.9752411;C38H76N6O8;null;PubChem:(58592018)
680;552.0449;553.05218;528.4;;;680_553.05218_528.4;;;;-332.1196838;C20H30Br2N2O6;null;PubChem:(132550224)
1369;649.40686;650.41413;1298.97;;;1369_650.41413_1298.97;;1.307;0.5486;-332.806557;C33H55N5O8;null;PubChem:(70970808)
587;804.35302;805.3603;453.14;;;587_805.3603_453.14;;;;-334.6574736;C38H48N10O10;null;PubChem:(73353215)
509;245.12175;246.12903;370.1;;;509_246.12903_370.1;;1.4289;0.72855;-335.9576526;C12H15BN2O3;null;PubChem:(71291590)
1131;337.20191;338.20918;1185.07;;;1131_338.20918_1185.07;;;;-336.5625698;C17H25BF2N2O2;null;PubChem:(131462695)
2354;663.44638;664.45365;1264.57;;;2354_664.45365_1264.57;;1.4913;0.47702;-338.4165882;C37H57N7O4;null;PubChem:(24997924)
1137;767.44411;768.45139;1194.81;;;1137_768.45139_1194.81;;;;-340.1632306;C41H61N5O9;null;PubChem:(139589299)
657;329.14522;330.15249;506.82;;;657_330.15249_506.82;;;;-341.1579358;C16H19BN2O5;null;PubChem:(122177125).PubChem class - bio and metabolites
2449;250.17407;251.18135;1311.97;;;2449_251.18135_1311.97;;0.21149;0.69324;-345.2443573;C13H22BNO3;null;PubChem:(123901277)
2514;300.14065;301.14792;1338.43;;;2514_301.14792_1338.43;;0.85535;0.39395;-347.7404222;C10H19F3N4O3;null;PubChem:(103370143)
2358;353.30847;354.31575;1268.63;;;2358_354.31575_1268.63;;0.084091;2.2578;-353.2078853;C19H39BN2O3;null;PubChem:(68064228)
1516;617.38337;618.39065;1374.51;;;1516_618.39065_1374.51;;0.28167;0.14278;-357.6332706;C35H48FN7O2;null;PubChem:(137457951)
2609;662.44561;663.45289;1376.66;;;2609_663.45289_1376.66;;0.44589;0.5571;-358.2364057;C44H58N2O3;null;PubChem:(101842108)
2541;685.42906;686.43634;1347.93;;;2541_686.43634_1347.93;;0.11799;1.1001;-359.5219478;C34H55N9O6;null;COCONUT:(CNP0202926).Natural Products:(UNPD55110)
843;697.26223;698.26951;744.54;;;843_698.26951_744.54;;;;-362.1687142;C26H43N5O17;null;PubChem:(91847375 91850240 91858879)
2168;767.57419;768.58147;1117.72;;;2168_768.58147_1117.72;;0.11264;2.466;-363.0251745;C37H73N11O6;null;PubChem:(44352560).PubMed
1413;573.3985;574.40578;1308.96;;;1413_574.40578_1308.96;;0.73489;1.4921;-364.1113519;C30H51BN4O6;null;PubChem:(123629723)
2572;685.42752;686.43479;1362.27;;;2572_686.43479_1362.27;;0.25161;0.66158;-364.861602;C36H63NO9S;null;PubChem:(101799000)
1048;628.45954;629.46682;1112.15;;;1048_629.46682_1112.15;;0.25036;0.10201;-366.4287685;C36H56B2N4O4;null;PubChem:(102226289)
1332;705.48207;706.48934;1292.64;;;1332_706.48934_1292.64;;1.2153;0.96276;-367.0963262;C35H67N3O11;null;PubChem:(58354134 68263885)
2028;503.29599;504.30326;903.68;;;2028_504.30326_903.68;;;;-368.4841813;C27H41N3O6;null;PubChem:(88144137)
1044;627.45646;628.46374;1108.48;;;1044_628.46374_1108.48;;0.24212;0.93115;-369.3566277;C32H61N5O7;null;PubChem:(44367816 90663445).PubMed
1121;290.25777;291.26505;1174.05;;;1121_291.26505_1174.05;;;;-370.4015114;C15H34N2O3;null;PubChem:(90097163)
696;327.32146;328.32874;551.03;;;696_328.32874_551.03;;;;-372.5754341;C19H37B2N3;null;PubChem:(139172428)
394;225.11218;226.11945;71.84;;;394_226.11945_71.84;;3.2132;1.4771;-373.1550587;C10H17BNO2S;null;PubChem:(123945159)
1950;612.49374;613.50101;700.7;;;1950_613.50101_700.7;;;;-378.415212;C37H64N4O3;null;PubChem:(138658008)
2317;353.30844;354.31572;1235.32;;;2317_354.31572_1235.32;;0.26302;2.6628;-379.1375265;C19H39BN2O3;null;PubChem:(68064228)
2333;353.30841;354.31569;1251.14;;;2333_354.31569_1251.14;;0.54083;2.4963;-379.1861103;C19H39BN2O3;null;PubChem:(68064228)
1688;159.07131;160.07858;73.98;;;1688_160.07858_73.98;;;;-380.8511761;C7H10FNO2;null;PubChem:(68381367)
548;808.94096;809.94824;430.97;;;548_809.94824_430.97;;;;-382.8631427;C26H18ClF2N5O13S4;null;PubChem:(136037026)
1980;521.28839;522.29567;790.19;;;1980_522.29567_790.19;;;;-384.2814854;C30H39N3O5;null;PubChem:(24142771 24142990)
718;516.13911;517.14639;580.95;;;718_517.14639_580.95;;;;-386.8430204;C20H20N8O9;null;PubChem:(101907015)
536;813.94849;814.95576;415.1;;;536_814.95576_415.1;;;;-387.6203823;C36H20Cl6N4O6;null;PubChem:(88732857)
2023;479.33113;480.33841;898.19;;;2023_480.33841_898.19;;;;-389.8593017;C30H42FN3O;null;PubChem:(68759634)
1326;704.97555;705.98283;1292.31;;;1326_705.98283_1292.31;;;;-391.0050347;C31H21Br2N3O7;null;PubChem:(125831917)
2109;517.34614;518.35341;1032.32;;;2109_518.35341_1032.32;;;;-395.3474109;C28H41BN7O2;null;PubChem:(101019780)
2189;656.52129;657.52856;1138.38;;;2189_657.52856_1138.38;;0.82469;0.23958;-396.5330244;C34H68N6O6;null;PubChem:(53691271)
2332;628.3673;629.37458;1250.2;;;2332_629.37458_1250.2;;0.67411;0.54995;-399.4544555;C31H48N8O6;null;PubChem:(9873995)
2369;685.42844;686.43572;1276.08;;;2369_686.43572_1276.08;;1.2263;0.78209;-403.8278364;C38H59N3O8;null;PubChem:(9852994 23375340)
473;286.22383;287.23111;342.45;;;473_287.23111_342.45;;;;-405.4870286;C11H26N8O;null;PubChem:(138525115)
2292;793.59049;794.59777;1215.08;;;2292_794.59777_1215.08;;1.394;1.4607;-406.7162412;C43H81F2NO9;null;PubChem:(126481348)
1368;660.94982;661.9571;1298.72;;;1368_661.9571_1298.72;;;;-406.766812;C26H21Br2N3O6S;null;PubChem:(125932528)
2340;662.44504;663.45231;1258.13;;;2340_663.45231_1258.13;;0.22316;0.95495;-407.7072296;C38H58BN3O6;null;PubChem:(123674811)
2426;685.43065;686.43793;1304.07;;;2426_686.43793_1304.07;;0.77138;1.6619;-410.3289437;C33H59N5O10;null;PubChem:(118265268)
589;345.14059;346.14787;454.34;;;589_346.14787_454.34;;;;-410.6387324;C11H19N7O6;null;PubChem:(129793370)
908;453.31697;454.32425;903.7;;;908_454.32425_903.7;;;;-411.7041315;C20H39N9O3;null;PubChem:(10886277)
927;523.32304;524.33031;954.6;;;927_524.33031_954.6;;;;-418.3496023;C27H41B2N3O6;null;PubChem:(123201594)
675;269.01731;270.02458;521.75;;;675_270.02458_521.75;;;;-419.258858;C8H12FNO4S2;null;PubChem:(123691198)
2001;525.2798;526.28708;863.39;;;2001_526.28708_863.39;;;;-425.5204455;C23H35B3N4O8;null;PubChem:(88899533)
1305;749.50157;750.50885;1287.53;;;1305_750.50885_1287.53;;0.50367;1.8903;-427.5833972;C38H67N7O8;null;PubChem:(10557007)
544;808.73874;809.74602;430.47;;;544_809.74602_430.47;;;;-436.3191829;C48H96N4O5;null;PubChem:(126717438)
810;329.25329;330.26057;686.6;;;810_330.26057_686.6;;;;-440.6996329;C19H31BN2O2;null;PubChem:(131362332)
1975;521.28777;522.29504;768.66;;;1975_522.29504_768.66;;;;-450.3955072;C27H40FN3O6;null;PubChem:(70957618)
1190;559.38105;560.38832;1218.15;;;1190_560.38832_1218.15;;0.39385;0.58081;-451.6344027;C29H54FN3O4S;null;PubChem:(44426112 44426113 44426114 44426115).PubMed
977;589.40573;590.413;1038.1;;;977_590.413_1038.1;;;;-455.4347471;C28H55N5O8;null;PubChem:(121493994).PubChem class - bio and metabolites
1036;577.3343;578.34157;1093.76;;;1036_578.34157_1093.76;;;;-463.6425092;C31H45F2N3O5;null;PubChem:(10196709 10218573)
870;492.2458;493.25308;813.19;;;870_493.25308_813.19;;0.67456;1.8383;-465.6966436;C25H36N2O8;null;PubChem:(11156118)
1510;667.60729;668.61457;1368.01;;;1510_668.61457_1368.01;;;;-466.8199237;C43H77N3O2;null;PubChem:(68199293 77423092)
2376;662.44232;663.4496;1280.19;;;2376_663.4496_1280.19;;0.002865;1.0356;-483.8867845;C38H58BN3O6;null;PubChem:(123674811)
534;787.9378;788.94508;414.78;;;534_788.94508_414.78;;;;-492.4263772;C33H20Cl4N4O5S3;null;PubChem:(117709425 123677038)
930;439.39801;440.40528;962.22;;;930_440.40528_962.22;;;;-493.0421423;C23H49N7O;null;PubChem:(87208336)
581;803.95271;804.95999;451.9;;;581_804.95999_451.9;;;;-499.5281941;C26H22N4O14P2S4;null;PubChem:(90936673)
1050;581.45973;582.467;1119.03;;;1050_582.467_1119.03;;;;-505.2414947;C30H59N7O4;null;PubChem:(89056918)
2496;664.44803;665.45531;1333.17;;;2496_665.45531_1333.17;;0.59863;0.15548;-509.0174208;C43H57FN4O;null;PubChem:(23633801)
2517;660.45572;661.463;1338.78;;;2517_661.463_1338.78;;0.24225;0.71864;-510.545793;C34H60BN5O7;null;PubChem:(58301517 123302449)
1963;626.50879;627.51607;717.69;;;1963_627.51607_717.69;;;;-514.7827958;C33H66N6O5;null;PubChem:(70877879)
2254;779.57325;780.58053;1195.02;;;2254_780.58053_1195.02;;1.1605;0.17926;-520.1181874;C43H77N3O9;null;PubChem:(89111846)
2368;627.36478;628.37206;1275.9;;;2368_628.37206_1275.9;;0.31973;1.4896;-520.9880223;C32H49BN4O8;null;PubChem:(25152435)
568;815.15496;816.16224;446.8;;;568_816.16224_446.8;;;;-527.3746134;C39H29N9O8S2;null;PubChem:(136932792)
1321;726.98779;727.99506;1290.32;;;1321_727.99506_1290.32;;0.84976;0.42568;-532.534037;C27H28Br2FN5O4S2;null;PubChem:(69185677)
1378;630.4225;631.42978;1301.02;;;1378_631.42978_1301.02;;;;-549.3149289;C37H54N6O3;null;PubChem:(134555164)
1125;510.38133;511.38861;1180.62;;;1125_511.38861_1180.62;;1.0487;0.55705;-551.0811798;C25H47FN8O2;null;PubChem:(134382354)
2238;627.36433;628.3716;1177.1;;;2238_628.3716_1177.1;;0.119;0.26759;-607.7474041;C32H49BN4O8;null;PubChem:(25152435)
1953;626.51031;627.51758;704.93;;;1953_627.51758_704.93;;;;-608.4377627;C33H66N6O5;null;PubChem:(70877879)
1115;836.60664;837.61391;1163.89;;;1115_837.61391_1163.89;;0.069481;1.1493;-631.1917653;C48H80N6O6;null;PubChem:(24969122)
1232;743.57027;744.57754;1243.67;;;1232_744.57754_1243.67;;0.99916;0.32557;-636.0645981;C41H73N7O5;null;PubChem:(46219312)
664;392.09658;393.10386;517.1;;;664_393.10386_517.1;;;;-636.423383;C16H16N4O8;null;PubChem:(88413938)
2256;793.58858;794.59585;1196.15;;;2256_794.59585_1196.15;;0.88726;2.196;-660.2609792;C43H79N5O8;null;PubChem:(59420093 59420094)
533;813.74864;814.75591;414.25;;;533_814.75591_414.25;;;;-687.7350544;C55H95N3O;null;PubChem:(87734228)
1170;603.4138;604.42107;1210.89;;;1170_604.42107_1210.89;;0.98838;0.0013374;-689.6345665;C33H54FN5O4;null;PubChem:(72409811)
2223;793.58916;794.59644;1164.3;;;2223_794.59644_1164.3;;0.15827;1.5769;-869.5268645;C50H75N5O3;null;PubChem:(101090013 101132946)
2243;793.59048;794.59775;1182.19;;;2243_794.59775_1182.19;;1.659;1.2945;-877.6811927;C50H75N5O3;null;PubChem:(101090013 101132946)
923;671.16786;672.17514;938.54;;;923_672.17514_938.54;;;;-1069.884853;C25H33N7O11S2;null;PubChem:(44578787).PubMed
2205;281.27175;282.2807;1150.53;;Oleamide ?;2205_282.2807_1150.53;;0.39577;0.23627;-12.17308657;C18H35NO;Oleamide;HMDB:(2117).PubChem class - food.SuperNatural:(SN00335079).Maconda:(CON00053).ZINC bio:(ZINC08036015 ZINC14880924).additional.HSDB:(301-02-0).MeSH:(1930 5283387 5353370).Plantcyc:(CPD6666-1).PubMed.NORMAN:(NS00006123).COCONUT:(CNP0300480).Natural Products:(UNPD56520).PubChem:(1930 5283387 5353370 117065529 117642701).YMDB Mine.CHEBI:(116314).PubChem class - bio and metabolites.EcoCyc Mine.KEGG:(C19670).PubChem class - safety and toxic.Training Set.Biocyc:(CPD6666-1 CPD-7637)
806;294.09249;295.09976;683.33;;;806_295.09976_683.33;;;;-61.39184766;C16H14N4S;Oprea1_269205;PubChem:(2173720).PubMed
2036;495.32693;496.33421;919.42;;;2036_496.33421_919.42;;2.0003;1.8469;-322.24937;C22H41N9O4;Substance P (1-4);MeSH:(172406).PubChem:(172406 23510786).PubMed
1774;159.06791;160.07519;125.08;;;1774_160.07519_125.08;;;;-50.38439945;C10H9NO;Tryptaldehyde;HMDB:(1190).ZINC bio:(ZINC00895327).additional.MeSH:(800).Plantcyc:(CPD-13432 INDOLE_ACETALDEHYDE).PubMed.COCONUT:(CNP0203676).KNApSAcK:(109).Natural Products:(UNPD135387).PubChem:(800 11607968).CHEBI:(18086).PubChem class - bio and metabolites.EcoCyc Mine.KEGG:(C00637).YMDB:(354).Training Set.Biocyc:(INDOLE_ACETALDEHYDE SMA-0000452)
2129;533.34488;534.35216;1068.35;;Lyso-PE(C22:2);2129_534.35216_1068.35;;;3.7094;;;;
